zone_id,start_time,weekday,hour,hours_worked,earnings,distance_km,trips_completed,active_drivers,active_hour_wage,revenue_per_trip,fare_per_km,earnings_per_driver,log_hours,log_trips,log_active_drivers,log_active_hour_wage,log_revenue_per_trip,log_fare_per_km,log_earnings_per_driver,wage,log_wage
Financial District/South Beach,2024-05-10 09:00:00,4,9,9.384341666666666,837.62,216.0112794,42,36,89.25719349874481,19.943333333333335,3.8776678807078997,23.267222222222223,2.2390425201796975,3.7376696182833684,3.58351893845611,4.491522016837502,2.992894918733831,1.3552339112519773,3.147045598561089,3.8776678807078997,1.3552339112519773
Financial District/South Beach,2024-05-10 10:00:00,4,10,15.083749722222223,1454.05,492.86939346,51,38,96.39844380723265,28.51078431372549,2.9501730464381266,38.26447368421052,2.7136179869899757,3.9318256327243257,3.6375861597263857,4.5684900584077,3.3502824126733497,1.0818638284408435,3.6445218856712893,2.9501730464381266,1.0818638284408435
Financial District/South Beach,2024-05-10 11:00:00,4,11,16.66594611111111,1631.38,570.9090491000001,63,50,97.88703198268273,25.894920634920638,2.8575129481162747,32.6276,2.8133674824921155,4.143134726391533,3.912023005428146,4.583814078890121,3.254046834990704,1.0499516479508493,3.4851585559540905,2.8575129481162747,1.0499516479508493
Financial District/South Beach,2024-05-10 12:00:00,4,12,9.653385277777778,848.81,253.37910870000002,41,28,87.92873956393018,20.70268292682927,3.3499604776216496,30.314642857142854,2.2673086598201957,3.713572066704308,3.332204510175204,4.476526708748539,3.030263301864426,1.2089485480425006,3.4116308583935298,3.3499604776216496,1.2089485480425006
Financial District/South Beach,2024-05-10 13:00:00,4,13,10.580396944444445,865.54,224.3768166,44,33,81.80600449536799,19.671363636363637,3.8575286569958402,26.228484848484847,2.3590029441048483,3.784189633918261,3.4965075614664802,4.404350645503567,2.9791639556901544,1.3500267341312373,3.266846028141935,3.8575286569958402,1.3500267341312373
Financial District/South Beach,2024-05-10 14:00:00,4,14,12.035823888888888,901.81,233.5608807,53,41,74.92715150414621,17.015283018867922,3.8611346099449775,21.995365853658534,2.4878875266309133,3.970291913552122,3.713572066704308,4.316516328227833,2.8341119413066247,1.350961080684977,3.0908317881544387,3.8611346099449775,1.350961080684977
Financial District/South Beach,2024-05-10 15:00:00,4,15,10.128568333333334,766.48,212.1582791,43,38,75.67505838683026,17.825116279069768,3.6127744024484785,20.170526315789473,2.3153599788879875,3.7612001156935624,3.6375861597263857,4.3264486264546305,2.8806084896490556,1.2844760097090882,3.0042224456162323,3.6127744024484785,1.2844760097090882
Financial District/South Beach,2024-05-10 16:00:00,4,16,15.228366944444444,1205.4,335.5554503,61,47,79.15490901929898,19.76065573770492,3.592252782430815,25.6468085106383,2.723159934923156,4.110873864173311,3.8501476017100584,4.371406806125788,2.9836928768756326,1.2787795216917937,3.2444191393388855,3.592252782430815,1.2787795216917937
Financial District/South Beach,2024-05-10 17:00:00,4,17,12.916058055555556,979.4,253.79314633,60,43,75.82808901812986,16.323333333333334,3.8590482610058903,22.77674418604651,2.5584713477415755,4.0943445622221,3.7612001156935624,4.3284687915266415,2.792595577046116,1.3504205885684681,3.1257400235746546,3.8590482610058903,1.3504205885684681
Financial District/South Beach,2024-05-10 18:00:00,4,18,10.89539361111111,819.01,186.8933431,55,42,75.17029941578012,14.89109090909091,4.382232060356354,19.500238095238096,2.388340095427437,4.007333185232471,3.7376696182833684,4.319756198363301,2.700763108558267,1.4775581974060195,2.9704266755073694,4.382232060356354,1.4775581974060195
Financial District/South Beach,2024-05-10 19:00:00,4,19,4.628864444444445,330.0,73.68118220000001,27,24,71.29178310591173,12.222222222222221,4.478755499664064,13.75,1.5323115776377279,3.295836866004329,3.1780538303479458,4.266781076822798,2.5032557884561966,1.4993452175824773,2.6210388241125804,4.478755499664064,1.4993452175824773
Financial District/South Beach,2024-05-10 20:00:00,4,20,9.733323333333333,981.66,366.97795615,45,32,100.85558307080453,21.814666666666668,2.674983561134534,30.676875,2.275555393208338,3.8066624897703196,3.4657359027997265,4.613689623014702,3.0825825264527205,0.9839432349588194,3.4235091134233135,2.674983561134534,0.9839432349588194
Financial District/South Beach,2024-05-10 21:00:00,4,21,9.255959166666667,900.9000000000001,290.4669895,33,23,97.33189005893591,27.300000000000004,3.101557259745001,39.16956521739131,2.225267578328778,3.4965075614664802,3.1354942159291497,4.578126685328616,3.3068867021909143,1.131904327212897,3.667900047728245,3.101557259745001,1.131904327212897
Financial District/South Beach,2024-05-10 22:00:00,4,22,9.49444138888889,716.42,194.6692885,41,26,75.456782622136,17.473658536585365,3.680190160041603,27.55461538461538,2.2507065103997,3.713572066704308,3.258096538021482,4.323560076761775,2.860694520457167,1.302964424770137,3.316170049139993,3.680190160041603,1.302964424770137
Financial District/South Beach,2024-05-10 23:00:00,4,23,5.7323063888888885,491.21000000000004,109.2214132,29,20,85.69151170149034,16.938275862068966,4.4973781752898985,24.5605,1.7461179608906596,3.367295829986474,2.995732273553991,4.450753774041234,2.82957590494542,1.503494599269438,3.2011394613779034,4.4973781752898985,1.503494599269438
Financial District/South Beach,2024-05-11 00:00:00,5,0,8.170081666666666,697.62,158.166073,45,20,85.3871513728239,15.502666666666666,4.410680411847868,34.881,2.100478904741985,3.8066624897703196,2.995732273553991,4.447195637166587,2.741012052138252,1.4840289659584005,3.5519422683545807,4.410680411847868,1.4840289659584005
Financial District/South Beach,2024-05-11 01:00:00,5,1,4.941428055555556,392.28999999999996,141.1136748,19,11,79.387981690628,20.646842105263158,2.7799573681005145,35.66272727272727,1.5976543694962129,2.9444389791664403,2.3978952727983707,4.374346992698505,3.027562383028277,1.0224355923693178,3.5741060893963468,2.7799573681005145,1.0224355923693178
Financial District/South Beach,2024-05-11 02:00:00,5,2,5.222630277777777,389.68,101.99227739999999,24,14,74.61374427710942,16.236666666666668,3.820681427395993,27.834285714285716,1.6530011596190737,3.1780538303479458,2.6390573296152584,4.312324729879213,2.7872720591503417,1.3404287908450025,3.3262685598830286,3.820681427395993,1.3404287908450025
Financial District/South Beach,2024-05-11 03:00:00,5,3,2.216666666666667,222.94,56.542479400000005,12,7,100.57443609022556,18.578333333333333,3.9428762651678126,31.84857142857143,0.7960045659996531,2.4849066497880004,1.9459101490553132,4.610898110961824,2.9219960271734773,1.3719104735174323,3.460992527906164,3.9428762651678126,1.3719104735174323
Financial District/South Beach,2024-05-11 04:00:00,5,4,5.340134166666666,550.19,176.9518102,26,17,103.02924661224962,21.161153846153848,3.1092646036124023,32.364117647058826,1.6752507775004248,3.258096538021482,2.833213344056216,4.635012895615864,3.0521671350948063,1.134386236368665,3.4770503290600723,3.1092646036124023,1.134386236368665
Financial District/South Beach,2024-05-11 05:00:00,5,5,2.18534,193.9,41.60274237,14,12,88.72761217934051,13.85,4.660750444658728,16.158333333333335,0.7817714228494549,2.6390573296152584,2.4849066497880004,4.485571139399151,2.6282852326333477,1.5391764747984022,2.7824359124606057,4.660750444658728,1.5391764747984022
Financial District/South Beach,2024-05-11 06:00:00,5,6,3.9306855555555553,456.38,168.0451156,16,13,116.10697257504134,28.52375,2.715818298975897,35.106153846153845,1.3688138522851898,2.772588722239781,2.5649493574615367,4.754511943533088,3.3507370735784967,0.9990933072287419,3.558376438356741,2.715818298975897,0.9990933072287419
